PWN Synset ID,English lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic gloss,Arabic examples,Phrase
1740,entity,that which is perceived or known or inferred to have its own distinct existence (living or nonliving),The world Health Organizaion is an independent entity.,كيان,بنية ذات وجود خاص بحد ذاته ( سواء كان حياً أم غير حي ),"الكيان التعليمي في بلادنا متطور، ",
6344646,name,a language unit by which a person or thing is known,water is the name of the liquid all livings drink to stay alive,اِسْم,وحدة لغوية نطلقها على شخص أو شيء ليعرف به,سامر هو الاسم الذي يطلق على ذلك الشخص. ما اسمك؟,
6737512,"verbal description, description",a statement that represents something in words,"heart of darkness, is a verbal description expressing the deep darkness","وَصْف شَفَهِيّ, وَصْف لَفْظِيّ",عبارة من مجموعة كلمات مركبة لفظياً  تعبر عن شيء ما," قلب الظلام وصف شفهي يعبر عن  الظلام الدامس. لسان حال المرء، هو وصف لفظي يدل على ظاهره",
5828980,"instance, representative, example, illustration",an item of information that is representative of a type,there is an illustration picture in the book about the water cycle in nature,  مِثَال,معلومة تمثل نموذجاً لشيء ما,"الخوخ، الدراق، البطيخ والكرز هي أمثلة عن فواكه الصيف ",مثال توضيحي
13831419,"part, component part, component, portion",something determined in relation to something that includes it,"the main part of a computer is the processor. motherboard, RAM,storage and hard disk drive are component parts.","جِزْء, قِسْم ,مكوِّن",شيء ضمن شيء يعتبر أنه يحتويه أو ذو صلة به,"الأجزاء الرئيسية في جسم الإنسان هي الرأس والجذع والأطراف ، أقسام البحث الأساسية هي المقدمة والمحتوى والخاتمة.  المكون الأساسي في الفاكهة هو الماء",
6329055,verb,a word that serves as the predicate of a sentence,"play,eat, is, can and have are examples of words that convey a state of being",فِعْل,كلمة تعبر عن حدث أو خبر في الجملة الإنكليزية,"يلعب، يستطيع، ويأخذ أمثلة لأفعال تدل على حالة معينة ",
5857567,"attribute, dimension, property",a construct whereby objects or individuals can be distinguished,flexibilty and mobility are the key attributes of our group.,"صِفَة, مِيزَة, خَاصِّيَّة",كلمة أو تركيب من الكلمات يطلق على الأشياء أو الأفراد لتمييزها,من صفات المرايا المستوية أنها مساوية للجسم في الحجم. من خصائص الفلزات نقل الكهرباء. من خصائص مرحلة الشباب أنها تتميز بالطموح والاندفاع. المرونة هي أهم ميزة في فريقنا.,
10326901,member,one of the persons who compose a social group (especially individuals who have joined and participated in a group organization),all the staff work members are invited to dinner tonight,عُضْو,أحد الأشخاص الذين يؤلفون هيئة اجتماعية ( أفراد مشاركين في مجموعة أو منظمة ),عدد أعضاء فريق كرة القدم أحد عشرلاعباً,
7341157,cause,events that provide the generative force that is the origin of something,studying hard was the main cause of his success," عِلَّة, سَبَب,  دَاعٍ",الأشياء التي تؤدي إلى أشياء أخرى تنتج عنها ,ما علة وجودك هنا؟ التدخين هو السبب الرئيسي لأمراض القلب والرئتين. لا داعٍ لفعل كل ذلك.,
2137,abstract entity,an entity that exists only abstractly,""" soul"" is an abstract entity, while 'body"" is something concrete",تَجْرِيد,أشياء لا ندركها مادياً بل معنوياً,"الإنسانية، المشاعر، الشجاعة، الأمانة والحب هي أمثلة لأشياء تجريدية لا يمكن إدراكها بالحواس، بل هي أفكار أو مفاهيم ندركها بالعقل",كيان تجريدي
2452,thing,a separate and self-contained entity,that's the greatest thing I've seen today,شَيء,كيان منفصل قائم بذاته,خلق الله كل شيء . الضجيج والفوضي هي أشياء تزعجني,
2684,"object, physical object",a tangible and visible entity; an entity that can cast a shadow,"pens, books, rulers, rubbers and bags are school objects.",جِسْم فِيزْيائِي,"أجسام ملموسة ، كيان ذو ظل",الجاذبية الأرضية تجعل الأجسام المادية تسقط على الأرض. الجسم الفيزيائي هو جسم يتحقق وجوده في العالم المادي ,جسم مادي
3553,"whole, unit",an assemblage of parts that is regarded as a single entity,the whole team was in a happy mood ," جَمِيع, كُلّ",كلمة تدل على الشمول لجميع الأجزاء المكونة للتركيب,"جميع الأعضاء حاضرون. تم تخصيص كل الوحدة الطبية لمعالجة جرحى الحرب، كان كل الفريق سعيداً.",
4258,"animate thing, living thing",a living (or once living) entity,all living things need water to survive,كَائِن حَيّ,جميع الكائنات الحية ,"وحيدات الخلية, النبات، الحيوان والإنسان جميعها كائنات حية",
4475,"being, organism",a living thing that has (or can develop) the ability to act or function independently,each organism survives within its habitat  ,"المُتَعَضِّي,كَائِن حَي",كائن حي لديه القدرة على التطور بشكل مستقل كوحيدات الخلية,المتعضيات النافعة تفيد في عملية النمو منها الحشرات والفطريات التي تكافح الآفات وتساعد في التلقيح. كل كائن حي يعيش ضمن بيئته الخاصة,
6269,life,living things collectively,,حَيَاة ,مجموعة الكائنات الحية التي تعيش بشكل جماعي في بيئة واحدة,لا توجد حياة على كواكب غير الأرض,
6400,biont,a discrete unit of living matter,symbionts are examples of  organisms living in symbiosis,متعضّي,وحدة منفصلة من شيء حي كالبكتيريا,تعيش المتعضيات المجهرية داخل الكائنات الحية,
6484,cell,(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals,cells are the basic building blocks of all living things,خَلِيَّة,"البنية الأساسية وأصغر جزء مكون للنسيج في الكائنات الحية ، يمكن أن تكون وحيدة كما في الفطريات أو تشكل النسج كما في الحيوان والنبات",الخلية هي الوحدة الأساسية التي يتكون منها كل كائن حيّ,خلية حية
7347,"causal agent, cause, causal agency",any entity that produces an effect or is responsible for events or results,the causal agent of malaria is parasite which is spread to humans through infected mosquitoes,"سَبَب, مُسَبِّب",أصل الشيء الذي يؤدي إلى أشياء أخرى تنتج عنه,التدخين هو السبب الرئيسي للسرطان. الإنسان هو المسبب الأول والرئيسي للتلوث في العالم.,
7846,"person, soul, individual, mortal, someone, somebody",a human being,each soul is individual and has its merits and faults,"شَخْص,  أَحَد , فَرْد, مَخْلُوق, إِنْسَان, نَفْس","كلمة تدل على الكائن البشري، الإنسان",كل شخص هنا لديه عمل يقوم به.لا أحد يعلم شيئاً عما حصل.  كل  فرد في المجتمع له حقوق وعليه واجبات. على الإنسان السعي دائماً لتطوير نفسه. كل نفس ذائقة الموت,
15568,"beast, brute, animal, animate being, fauna, creature",a living organism characterized by voluntary movement,fauna is a form of life animals belong to,GAP,كائن حي من المخلوقات غير العاقلة تتحرك إرادياً,"القطط والكلاب والطيور من أنواع الحيوانات، عندما تهاجم الوحوش البرية فلا مجال للنجاة، الإقطاعيون يعاملون الفلاحين معاملة البهائم",
17402,"plant life, plant, flora",a living organism lacking the power of locomotion,"flowers, trees, fruits and vegetables are kinds of plants"," [غَرْسَة,] نَبَات, حَيَاة نَبَاتِيَّة",كائن حي نامٍ لا يتحرك يعيش بجذور ممتدة في الأرض أو في الماء يغلب عليه اللون الأخضر,"يتميز النبات بأنه كائن حي ذاتي التغذية، الحياة النباتية عالم واسع جداً",
19308,natural object,an object occurring naturally; not made by man,"clouds, sky, mountains and soil are natural objects", جِسْم طَبِيْعِي,"جسم موجود بشكل طبيعي، وليس من تدخّل البشر","معدن الذهب جسم طبيعي، بينما الحلي والمجوهرات من صنع الإنسان",شيء طبيعي
19793,"substance, matter",that which has mass and occupies space,"books differ in both style and substance/.  gold, copper, iron and silver are pure chemical substances",مَادَّة,"كل ما له كتلة ويحتل حيزاً في الفراغ، أو أصل شيء ما",الزئبق مادة سائلة. ,
21445,"food, nutrient",any substance that can be metabolized by an organism to give energy and build tissue,"without nutrients, beings cant't survive","طَعَام, غِذَاء, قُوْت",مادة يمكن للكائن الحي أن يهضمها لينتج الطاقة ويبني الأنسجة,الماء والطعام والهواء أساس استمرار الكائنات الحية. الغذاء يعطي القدرة على النمو بشكل سليم.  يعمل الرجل ليوفر القوت لعائلته.,
22119,"artifact, artefact",a man-made object taken as a whole,tools and clothes are artifacts made by people,شيء اصطناعي,شيء من صنع الإنسان, اللوحات والمجوهرات وأدوات المطبخ أمثلة عن أشياء اصطناعية.,
23083,article,one of a class of artifacts,articles of furniture ,"نَوْع, صِنْف ",أحد أصناف أشياء اصطناعية,أنواع من المفروشات. الحرير أحد أصناف القماش.,
23280,psychological feature,a feature of the mental life of a living organism,nurses must be educated about psychological features of patients,"عَلامَة نَفْسِيَة, مِيْزَة نَفْسِيَّة,سمة نفسية",إحدى الميزات المعتادة للسلوك والتفكير والعاطفة والخاصة بالكائن الحي,يجب عدم تجاهل العلامات النفسية عند الأطفال.  يجب تعليم الممرضات الميزات النفسية للمرضى. بعض السمات النفسية كالتوتر وقلة الثقة بالنفس والإحباط تؤثر بشكل كبير على الإنجاز الرياضي.,علامة نفسية
23451,"knowledge, cognition, noesis",the psychological result of perception and learning and reasoning,you should have a general knowledge about everything in life,"إِدْرَاك, مَعْرِفَة",الفهم والقدرة على التعلم والتحكيم المنطقي,التذكر والتقييم تعتبر أمثلة للإدراك. يجب أن يكون لديك معرفة عامة بكل شيء في الحياة,
23953,"motivation, motive, need",the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior,the need for money was a motivation to make him work hard,"دَافِع, حَافِز, دَاعٍ, بَاعِث ,حاجة ",ميزة  نفسية تعمل على إثارة  سلوك الفرد وتصرفاته نحو العمل الذي يريده,لم يتوصل المحقق بعد إلى الدافع لارتكاب  الجريمة. الحاجةإلى المال كانت حافزاً ليعمل بجد.  لا داعٍ لكل هذه الأشياء سنغيب يوماً واحداً فقط. لا حاجة لوجودك هنا.,
24444,attribute,an abstraction belonging to or characteristic of an entity,cruelty is not a good attribute of the human behavior,"صِفَة, مِيْزَة, خَاصِّيَّة, خَصْلَة",تعبير يخص أو يصف شيئاً ما,اللطف من أهم صفات الإنسان المحبوب . يجب أن يمتلك المرشحون ميزات معينة لنيل ذلك المنصب. المذاق المر من خصائص القهوة. الكذب خصلة قبيحة.,
24900,state,the way something is with respect to its main attributes,happiness is the state of being happy,"حَال, حَالَة, وَضْعَ",ما كان عليه الشيء أو الشخص من هيئة وصفات,حال/حالة الطقس اليوم مستقرة. الوضع الاقتصادي في تطور مستمر.,
26390,feeling,the experiencing of physical or affective and emotional states,he had a terrible feeling of guilt. / I was hurt on my leg so I lost the feeling in it,"إِحْسَاس,  شُعُوْر",حالة فيزيولوجية أو نفسية تتولد من تأثر الشخص بمؤثر ما,إحساسه بالذنب كان فظيعاً. تعرضت لإصابة في قدمي ففقدت الإحساس بها تماماً. كان لدي شعور بالصدمة تجاه ما حدث.,
27365,location,a point or extent in space,"we have found his location, he's between the school and the garden","مَكَان, مَوْقِع",نقطة أو امتداد معين من الأرض,لقد قررنا أين سيكون مكان البناء الجديد. استطعنا تحديد موقعه,
28005,"shape, form",the spatial arrangement of something as distinct from its substance,this clock is in a circle shape,"شَكْل, صُورَة, هَيْئَة",الصورة أو البنية  الظاهرة لشيء ما,شكل الساعة دائري. تشكلت الغيوم على صورة طفل. تنكّر الفنان على هيئة دمية في مسرحية الأطفال. ,
28468,time,the continuum of experience in which events pass from the future through the present to the past,how much time would it take to finish this work?,زَمَن وقت,فترة أو مدة استمرارية تمر فيها الأحداث من الماضي مروراً الحاضر حتى المستقبل,ما هو الزمن اللازم لإنهاء هذا العمل؟ عشر دقائق هو الوقت المتبقي على نهاية المباراة.,
