Id,English lemmas,English gloss,English examples,Arabic lemmas (by the translator),Arabic gloss,Arabic exampes,Deleted lemmas,New lemmas,Phrase,(Synset after cleaning_cleaned lemmas) or GAP
1740,"take a breath, suspire, breathe, respire","draw air into, and expel out of, the lungs",I can breathe better when the air is clean; The patient is respiring,"[اِستَنشَقَ], تَنَفَّسَ",يسحب الهواء إلى داخل الرئتين ويخرجه منهما,"افتح النافذة، بالكاد أستطيع أن أتنفس", اِستَنشَقَ ,,, تَنَفَّسَ
2325,respire,undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide,,تنفَّسَ,يقوم بالعملية الحيوية التنفسية المتمثلة بسحب الأكسجين إلى داخل الرئتين وإخراج ثاني أكسيد الكربون,تتنفس السمكة من خلال الخياشيم. ,,,,تنفَّسَ
2573,respire,"breathe easily again, as after exertion or anxiety",,[تَنَفَّسَ],يستعيد تنفسه الطبيعي بعد التعب أو التوتر,استطاع أن يستعيد أنفاسه بعد الجري مسافة طويلة, تَنَفَّسَ ,, استعاد أنفاسه ,GAP
4032,"sigh, suspire",heave or utter a sigh; breathe deeply and heavily,She sighed sadly,تَنَهَّدَ,"يخرج نفساً عميقاً وثقيلاً ذو صوت، يعبر فبه عن التعب أو الراحة أو الحزن أو الملل إلخ","قالت: ""أتمنى لو كان هنا""، وتنهدت بعمق.",,,,تَنَهَّدَ
4492,hold,keep from exhaling or expelling,hold your breath,"[مَسَكَ], [حَبَسَ]",يبقي الهواء في رئتيه ويمتنع عن الزفير ,حبس أنفاسه تحت المياه لدقيقة كاملة," مَسَكَ ,  حَبَسَ ",, حَبَس النفس ,GAP
7739,"wink, blink, nictate, nictitate",briefly shut the eyes,The TV announcer never seems to blink,"رَفَّ, رَمَّشَ",يفتح ويغلق عينيه بسرعة وبشكل متكرر لا إرادياً,ترف العين أحياناً بسبب الصغط العصبي. ترمش عيني بسبب دخول الغبار فيها,,,,"رَفَّ, رَمَّشَ"
8299,wink,signal by winking,She winked at him,غَمَز,يشير بعينه من خلال غلق عين واحدة وفتحها سريعاً للدلالة على التحية أو المزاح أو الفهم الخ,غمزتها أمها كي تذهب وتحضر القهوة,,,,غَمَز
9140,"shed, exuviate, molt, moult, slough","cast off hair, skin, horn, or feathers",our dog sheds every Spring,"طَرَحَ,[ نَزَعَ], [أَسْقَطَ], [غَيَّرَ],[ إِنْسَلَخَ]",يقوم بتغيير الفراء أو الجلد أو القرون أو الريش أو الأسنان الخ كحالة تجديد طبيعية في مراحل النمو المختلفة,يطرح الثعبان كساءه بين الحين والآخر للتخلص من الطفيليات,"  نَزَعَ ,  أَسْقَطَ ,  غَيَّرَ ,  إِنْسَلَخَ ",,,طَرَحَ
10047,"move reflexively, move involuntarily",move in an uncontrolled manner,,[ تَحَرَّكَ بِحَرَكَة إِنْعِكَاسِيَّة],يحرك الجسد أو أعضاء منه بطريقة غير مقصودة بسبب مرض عصبي أو غيره,تتحرك يده لا إرادياً بسبب إصابته بالرعاش,  تَحَرَّكَ بِحَرَكَة إِنْعِكَاسِيَّة ,,تحرَّك بشكل لا إرادي,GAP
10234,"act involuntarily, act reflexively",act in an uncontrolled manner,,Gap,يفعل شيئاً بشكل غير مقصود وليس باختياره, عندما يتبول الطفل في  الفراش فإنه يتبول لا إرادياً,,,تَصَرَّفَ لا إرادياً,GAP
10428,"act, do, behave",behave in a certain manner; show a certain behavior; conduct or comport oneself,"You should act like an adult; Don't behave like a fool; What makes her do this way?; The dog acts ferocious, but he is really afraid of people","[فَعَلَ], [قَامَ بـِ], تَصَرَّف, [عَمِلَ], [سَلَكَ]",يقوم بفعل ما بطريقة معينة في مواقف معينة,تصرف بطريقة تدل على قلة الاحترام.," فَعَلَ ,  قَامَ بـِ ,  عَمِلَ ,  سَلَكَ ",,,تَصَرَّف
12260,make,act in a certain way so as to acquire,make friends; make enemies,"كَوَّنَ, [أَنْشَأَ]",يقوم بفعل معين ليكسب شيئاً,كوّن أصدقاء جدد. كوّنت الشركة أرباحاً طائلة,  أَنْشَأَ ,,,كَوَّنَ
12606,freeze,suddenly behave coldly and formally,She froze when she saw her ex-husband,"[فَتَرَ], جَمَدَ, [سَلَكَ سُلُوكَاً بَارِدَاً]",يتوقف عن الحركة فجأة ويتصرف ببرود ورسمية,تجمدت عندما رأت أحدهم من النافذة. تجمد من الخوف ولم يعد يستطيع الكلام," فَتَرَ ,  سَلَكَ سُلُوكَاً بَارِدَاً ",,,جَمَدَ
13321,"play, toy",engage in an activity as if it were a game rather than take it seriously,They played games on their opponents; play the stock market; play with her feelings; toy with an idea,"[عَبَثَ], لَهَا, لَعِبَ",يقضي الوقت في نشاط ما بغرض التسلية والاستمتاع,يلهو بالصيد. يلعب بمشاعر الناس, عَبَثَ ,,,"لَهَا, لَعِبَ"
13608,"act, play, act as",pretend to have certain qualities or state of mind,He acted the idiot; She plays deaf when the news are bad,مَثَّلَ,يتظاهر بأن له صفات معينة ويتصرف على أساسها,لعب دور الضحية. مثّل بأنه مسكين,,,لعب دور,مَثَّلَ
14027,"shake, didder",move with or as if with a tremor,his hands shook,"[هَزَّ], [رَجَّ]، ( ارتعش)",يتحرك الجسم أو أحد أعضائه حركة سريعة بسبب مرض أو خوف أو إثارة,ارتعش من القلق. ارتعشت يداه," هَزَّ ,  رَجَّ ",  ارتعش ,,  ارتعش 
14194,"shiver, shudder","shake, as from cold",The children are shivering--turn on the heat!,"اِرْتَجَفَ, [اِرْتَعَشَ], [رَعَشَ], رَجَفَ, [اِرْتَعَدَ]",يهتز جسده بحركة سريعة ,شغل التدفئة فأنا أرتجف من البرد. رجف جسده من الرعب,"اِرْتَجَفَ,  اِرْتَعَشَ ,  رَعَشَ ,  اِرْتَعَدَ ",,,رَجَفَ
14398,rest,be at rest,,"اِرْتَاحَ,[ اسْتَرَاحَ],[ اِضْطَجَعَ]","يكون في حالة استقرار وهدوء، دون ألم أو توتر",ارتاح أخيراً بعد الجهد الذي بذله. لا أرتاح حتى أنجح في الامتحان,"  اسْتَرَاحَ ,  اِضْطَجَعَ ",,,اِرْتَاحَ
14542,"be active, move",be in a state of action,she is always moving,"[نَشَطَ], تَحَرَّكَ",يكون في حالة نشاط وحركة دائمة,طفلي يتحرك كثيراً. الآلة تتحرك باستمرار, نَشَطَ ,,,تَحَرَّكَ
14735,"catch some z's, kip, slumber, log z's, sleep",be asleep,,نَامَ,يكون في حالة راحة مؤقتة حيث وظائف الجسد غير نشطة والدماغ غير واعٍ,نام بعمق بعد يوم شاق,,,,نَامَ
17024,"snore, saw wood, saw logs",breathe noisily during one's sleep,she complained that her husband snores,شَخَرَ,يتنفس بصوت عالٍ أجشّ أثناء النوم ينتج عن اهتزاز الحنك الرخو,لم أستطع النوم لأن زوجي يشخر كثيراً,,,,شَخَرَ
