PWN ID,English Lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic Gloss,Arabic Examples
1740,able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,able to swim; she was able to program her computer; we were at last able to buy a car; able to get a grant for the project,قَادِر,"امتلاك القوة الجسدية والذهنية، المهارات، الوقت، المال، أو الفرص لفعل شيء ما.",سأكون قادراً على حل المشكلة. أصبح الطفل قادراً على المشي وحده دون مساعدة
4412,abridged,(used of texts) shortened by condensing or rewriting,an abridged version,"مُخْتَصَر, مُوْجَز",(تستخدم في النصوص) كون كتاب أو مسرحية أو مقالة أقصر وأكثر إيجازاً من خلال إزالة بعض التفاصيل والمعلومات غير الضرورية,حاولت أن أجعل القصة مختصرة من أجل الأطفال. كتبتُ مقالةً موجزة عن الآثار في بلادي
6354,"absorptive, absorbent",having power or capacity or tendency to absorb or soak up something (liquids or energy etc.),as absorbent as a sponge,مَاصْ,امتلاك القدرة على سحب السوائل أو المواد الأخرى عبر السطح إلى الداخل والاحتفاظ بها,تلك المناديل ماصة جيدة للماء. الرمل ماص للسوائل 
11776,abstract,existing only in the mind; separated from embodiment,abstract words like `truth' and `justice',"مُجَرَّد, نَظَرِي",أشياء أو أفكار غير ملموسة ولا توجد إلا في العقل فقط,"الأخلاق من المفاهيم المجردة. الخيال، الصداقة، الحرية، الغيرة والنجاح أمثلة على أشياء نظرية. "
491482,accustomed,(often followed by `to') in the habit of or adapted to,accustomed to doing her own work; I've grown accustomed to her face,مُتَعَوِّد,معتاد على شيء ما من خلال تكراره بانتظام ليصبح مألوفاً,جلست في مقعدي المعتاد في الصف. أصبحت معتاداً على جو العمل 
25351,acidic,being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7),,حامِضِيّ,"كون المادة تحتوي على الأسيد، حيث يكون المركب عند انحلاله في الماء قادراً على تحرير أيونات الهيدروجين (حيث تكون درجة الحموضة أقل من 7)", حمض الهيدروكلوريك وحمض السيتريك أمثلة على مركبات حامضية.
25841,"alkalic, alkaline",relating to or containing an alkali; having a pH greater than 7,alkaline soils derived from chalk or limestone,"قاعِدِيّ, قَلَوِيّ",كون المركب يحتوي المادة القلوية القادرة على نزع بروتون من الحموض الضعيفة جداً ومن خواصه أنه يذوب في الماء ويعادل الأحماض ودرجة حموضته أكبر من 7,. المحاليل القاعدية هي محاليل مائية غالباً. هيدروكسيد الصوديوم مركب قلوي يستخدم في صناعة الصابون
28393,"given, granted",acknowledged as a supposition,"given the engine's condition, it is a wonder that it started", صحيح,معترف به كفرضية صحيحة,"صحيح أنه حصل على علامة سيئة، ولكن لا يحق لك توبيخه"
32087,active,characterized by energetic activity,an active toddler; active as a gazelle; an active man is a man of action,نَشِط, امتلاك الطاقة والحيوية جسدياً أو فكرياً,إنها فتاة نشطة تستيقظ من السابعة صباحاً. نشط كالغزال
44573,"potential, possible",existing in possibility,a potential problem; possible uses of nuclear power,"مُحْتَمَل, مُمْكِن",موجود بشكل يرجح حدوثه أو عدمه,الآثار المحتملة لتناول الدواء.  ربحه للجائزة ممكن
96133,dead,no longer having or seeming to have or expecting to have life,the nerve is dead; a dead pallor; he was marked as a dead man by the assassin,مَيِّت,كون الشخص أو الشيء فارق الحياة,أشجار ميتة. عصب ميت. شخص ميت
114629,angry,feeling or showing anger,angry at the weather; angry customers; an angry silence; sending angry letters to the papers,غَاضِب," أن يكون لديك شعور قوي ضد أحد تصرف بشكل سيء، ما يجعلك ترغب بالصراخ عليه أو إيذائه، أو أن أمراً ما لا يسير على ما يرام",أتمنى ألا تكون غاضباً مني على تصرفي السيء أمس.
118877,animate,endowed with animal life as distinguished from plant life,we are animate beings,حَيّ,يتصف بأنه على قيد الحياة وفيه روح خلافاٌ للنباتات,نحن كائنات حية
126191,amphibious,operating or living on land and in water,amphibious vehicles; amphibious operations; amphibious troops; frogs are amphibious animals,بَرْمَائِيّ,ذو خصائص تمكنه من العمل أو العيش في الماء وعلى اليابسة,عمليات عسكرية برمائية. الضفدع حيوان برمائي
143675,armed,(used of persons or the military) characterized by having or bearing arms,armed robbery,مُسَلَّح,يتصف بكونه مزوداً بأي نوع من السلاح,سطو مسلح. جندي مسلح
144185,unarmed,(used of persons or the military) not having or using arms,went alone and unarmed; unarmed peasants were shot down; unarmed vehicles,أَعْزَل,(عسكري) مجرد من أي نوع من أنواع السلاح,كان أعزلاً عندما حاصروه في المنزل. مركبة عزلاء
144857,"armoured, armored",protected by armor (used of persons or things military),,"مُصَفَّح, مُدَرَّع", محمي ومجهز بدروع وأسلحة قوية,اقتحم الجيش المدينة بالمركبات المصفحة. تمت العملية بواسطة عربة مدرعة محملة بالمتفجرات 
