PWN ID,English Lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic Gloss,Arabic Examples
8300,half,partially or to the extent of a half,he was half hidden by the bushes,نِصْف,إشارة إلى أحد الجزأين المتساويين أو المتعادلين تقريباً من كل واحد, نصف نائم. نصف ساعة
24432,"not, non",negation of a word or group of words,he does not speak French; she is not going; they are not friends; not many; not much; not at all,"لَيْسَ, لا",أداة تستخدم لنفي فعل أو صفة أو عبارة,ليس بالقليل. ليسوا أصدقاء. لا يتحدث لغات أخرى
25873,nowhere,not anywhere; in or at or to no place,I am going nowhere,GAP,إشارة إلى عدم الوجود في أي مكان أو الذهاب إليه أو المجيء منه ,لم أجده في ولا مكان. لا مكان لدي لأذهب إليه
25968,"somewhere, someplace",in or at or to some place,"she must be somewhere""; (`someplace' is used informally for `somewhere')",مَكَان ما,إشارة إلى الوجود في مكان ما أو الذهاب إليه أو المجيء منه,اختبأ في مكان ما. ذاهب إلى مكان ما يكون آمناً
31700,still,"with reference to action or condition; without change, interruption, or cessation",it's still warm outside; will you still love me when we're old and grey?,GAP,مستمراً في الحدوث دون تغيّر أو انقطاع,ما زال كل شيء على حاله. هل ما زلت غاضباً مني؟
32002,"anymore, any longer",at the present or from now on; usually used with a negative,Alice doesn't live here anymore; the children promised not to quarrel any more,GAP,إشارة إلى توقف شيء ما عن الحدوث في الزمن الحاضر وعدم حدوثه ثانية في المستقبل,لن تتحدث معه بعد الآن. لن أقبل بالتنازل بعد الآن
33808,"instantaneously, in a flash, outright, instantly",without any delay,he was killed outright,"حَالاً, فَوْرَاً",بطريقة يحدث فيها الشيء مباشرة دون أي تأجيل,اخرج من الغرفة حالاً. طفل مطيع يلبي طلب والدته فوراً. سأرسل لهم نسخة في الحال. سأذهب على الفور لأتفقد حاله. 
37620,"genuinely, really, truly",in accordance with truth or fact or reality,she was now truly American; a genuinely open society; they don't really listen to us,حَقَّاً,بشكل حقيقي وصادق بعيداً عن الخداع والكذب,أنا حقاً آسف بشأن ما حدث. لقد سرّت في الحقيقة عندما رأته. في الواقع لا أحد يستمع إليه
44672,vocationally,affecting the pursuit of a vocation or occupation,vocationally trained, مِهَنِيَّاً,بطريقة تزودك بالمهارات  اللازمة للاستعداد للوظيفة أو المهنة,متدرب مهنياً. استشاره مهنياً. 
47177,"devilishly, madly, insanely, deadly, deucedly",(used as intensives) extremely,she was madly in love; deadly dull; deadly earnest; deucedly clever; insanely jealous,   لِلْغَايَة,بطريقة مفعمة بالطاقة والحماس والاهتمام,إنها سعيدة للغاية. ذكي إلى حد كبير.  جدي للغاية
49277,"now, straightaway, directly, at once, immediately, instantly, forthwith, straight off, in real time, like a shot, right away",without delay or hesitation; with no time intervening,he answered immediately; found an answer straightaway; an official accused of dishonesty should be suspended forthwith; Come here now!,"حَالاً, مُبَاشَرَةً, فَوْرَاً",حدوث الشيء بدون تردد أو تأجيل أو مقاطعة في المنتصف ,أحضر الطعام حالاً. أجاب على السؤال مباشرة. ذهب لاستقباله فوراً عند معرفته بمجيئه. لبى النداء في الحال.  عند رؤيته هرب على الفور. 
54750,next,at the time or occasion immediately following,next the doctor examined his back," بَعْدَها, ثُمَّ",كون الشيء يأتي مباشرة بعد الشيء الموجود أو المذكور في الوقت الحاضر,بعد ذلك ذهبنا للتسوق. اكسر البيض بعدها قم بخفقه. ثم ماذا حدث؟ 
55174,by machine,with the use of a machine,the shirt is sewn by machine,آلِيَّاً, تم باستخدام الآلة ,تمت تعبئته آلياً لا تمسه الأيدي. 
60392,"increasingly, progressively, more and more",advancing in amount or intensity,she became increasingly depressed,تَدْرِيجِيَّا,بشكل يتزايد في الكم أو الحجم كلما تقدم,يتطور نمو الإنسان تدريجياً.
60735,de facto,in reality or fact,"the result was, de facto, a one-party system","فِعْلِيَّا, وَاقِعِيَّا","موجود في الحقيقة، رغم أنه غير قانوني أو غير مقصود بالضرورة",الدكتاتوريون يحكمونهم فعلياً. كانت النتيجة واقعياً هي الفصل من العمل . 
62868,"purposely, intentionally, advisedly, on purpose, deliberately, by choice, by design, designedly",with intention; in an intentional manner,he used that word intentionally; I did this by choice," مَقْصُود, عَمْدَا, مُتَعَمَّد","بطريقة مقصودة ومخطط لها مسبقاً، مع سبق الأصرار والتصميم",لم أكن أنوي تجاهلك بشكل مقصود. كانت نيته التجريح عمداً. لم أكن أنوي الإساءة بشكل متعمد. فعلت ذلك عن قصد. .  
64899,chromatically,with respect to color,chromatically pure,لَوْنِيَّا,فيما يخص الألوان ودرجاتها وتشبعها,مشبع لونياً. صافٍ لونياً
65694,twice,two times,I called her twice,"مَرَّتَيْن, مَرَّتَان",حدوث الشيء مرتين,اتصلت بك مرتين
71721,nearby,not far away in relative terms,she works nearby; the planets orbiting nearby are Venus and Mars,قَرِيْباً,ليس بعيداً نسبياً,لاحظت وجود مقهى قريباً من هنا
73946,asexually,in an asexual manner,plants that reproduce asexually,GAP,بطريقة حيث لا وجود للأعضاء الجنسية والتزاوج,تتكاثر البكتيريا لا جنسياً
