id	past	root	futureType	triliteral	transitive
1	أَمْكَنَ	مكن	فتحة	0	0
2	اِسْتَحَالَ	حيل	فتحة	0	0
3	أَغْمَى	غمي	فتحة	0	0
4	اِنْبَغَى	بغي	فتحة	0	0
5	اِنْفَكَّ	فكك	فتحة	0	0
6	تَعَالَى	علو	فتحة	0	0
7	أَوْشَكَ	وشك	فتحة	0	0
8	عَيَّا	عيي	فتحة	0	0
9	زَيَّا	زيي	فتحة	0	1
10	حَيَّا	حيي	فتحة	0	1
11	تَحَتَّمَ	حتم	فتحة	0	0
12	أَحْيَا	حيي	فتحة	0	1
13	أَعْيَا	عيي	فتحة	0	1
14	تَحَيَّا	حيي	فتحة	0	0
15	تَزَيَّا	زيي	فتحة	0	0
16	اِسْتَعْيَا	عيي	فتحة	0	1
17	اِسْتَحْيَا	حيي	فتحة	0	1
18	آوَى	ءوي	فتحة	0	1
19	خَبَّصَ	خبص	فتحة	0	0
20	خَبَّلَ	خبل	فتحة	0	1
21	غَوَّصَ	غوص	فتحة	0	1
22	ذَلَّقَ	ذلق	فتحة	0	1
23	وَقَّتَ	وقت	فتحة	0	1
24	خَوَّلَ	خول	فتحة	0	1
25	رَقْرَقَ	رقرق	فتحة	0	1
26	رَقَّشَ	رقش	فتحة	0	1
27	رَيَّقَ	ريق	فتحة	0	1
28	دَكَّكَ	دكك	فتحة	0	1
29	بَسَّطَ	بسط	فتحة	0	1
30	ثَلَّمَ	ثلم	فتحة	0	1
31	رَنَّمَ	رنم	فتحة	0	0
32	رَكَّعَ	ركع	فتحة	0	1
33	حَمْدَلَ	حمدل	فتحة	0	0
34	قَلَّعَ	قلع	فتحة	0	1
35	نَظَّفَ	نظف	فتحة	0	1
36	دَوَّمَ	دوم	فتحة	0	1
37	عَطَّلَ	عطل	فتحة	0	1
38	طَفَّرَ	طفر	فتحة	0	1
39	زَفَّتَ	زفت	فتحة	0	1
40	شَيَّطَ	شيط	فتحة	0	1
41	رَغْرَغَ	رغرغ	فتحة	0	1
42	طَرَّبَ	طرب	فتحة	0	1
43	نَعَّشَ	نعش	فتحة	0	1
44	رَكَّزَ	ركز	فتحة	0	1
45	سَمَّرَ	سمر	فتحة	0	1
46	رَكَّبَ	ركب	فتحة	0	1
47	جَبَّرَ	جبر	فتحة	0	1
48	هَرَّشَ	هرش	فتحة	0	0
49	لَوَّزَ	لوز	فتحة	0	1
50	رَعْرَعَ	رعرع	فتحة	0	1
51	نَمَّشَ	نمش	فتحة	0	1
52	حَبَّبَ	حبب	فتحة	0	1
53	رَقَّقَ	رقق	فتحة	0	1
54	قَلَّدَ	قلد	فتحة	0	1
55	رَفَّهَ	رفه	فتحة	0	1
56	رَمَّدَ	رمد	فتحة	0	1
57	رَدَّدَ	ردد	فتحة	0	1
58	فَكَّهَ	فكه	فتحة	0	1
59	جَسَّمَ	جسم	فتحة	0	1
60	رَعْبَلَ	رعب	فتحة	0	1
61	رَهَّطَ	رهط	فتحة	0	1
62	رَهَّلَ	رهل	فتحة	0	1
